method,interval_type,budget,alpha,trials,parameter_coverage,delta_coverage,delta_coverage_wilson95_low,delta_coverage_wilson95_high,decision_coverage,decision_coverage_wilson95_low,decision_coverage_wilson95_high,claims,incorrect_claims,unconditional_incorrect_claim_rate,selective_risk,selective_risk_wilson95_low,selective_risk_wilson95_high,sign_errors,empty_sets,mean_interval_width_nonempty,point_ranking_error_rate
random,shared_parameter_set,0,0.5,300,0.48333333333333334,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.5188840838263213,0.5366666666666666
random,scalar_wald,0,0.5,300,0.48333333333333334,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
random,shared_parameter_set,0,0.2,300,0.7933333333333333,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.595384336003226,0.5366666666666666
random,scalar_wald,0,0.2,300,0.7933333333333333,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
random,shared_parameter_set,0,0.1,300,0.91,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.637065937783869,0.5366666666666666
random,scalar_wald,0,0.1,300,0.91,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
random,shared_parameter_set,0,0.05,300,0.96,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.670972156246493,0.5366666666666666
random,scalar_wald,0,0.05,300,0.96,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
random,shared_parameter_set,0,0.01,300,0.99,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.731686039769647,0.5366666666666666
random,scalar_wald,0,0.01,300,0.99,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
