trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,random,0,0.5,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,0,0,shared_parameter_set,0,-0.955151557273506,0.955151557273506,1.910303114547012,1,0,0,0
0,random,0,0.5,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,0,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.2,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.2,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.1,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.1,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.05,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.05,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.01,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,shared_parameter_set,0,-1.0,1.0,2.0,1,0,0,0
0,random,0,0.01,1,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.0,1,0,scalar_wald,0,-1.0,1.0,2.0,1,0,0,0
0,random,2,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,0,0,shared_parameter_set,0,0.010136768885192438,0.5096695355798111,0.49953276669461866,0,0,0,0
0,random,2,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,0,0,scalar_wald,0,0.11682226937116078,0.40298403509384273,0.2861617657226819,0,1,0,0
0,random,2,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,shared_parameter_set,0,-0.1206877201213542,0.6404940245863577,0.7611817447077119,1,0,0,0
0,random,2,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,scalar_wald,0,-0.011954988498545316,0.5317612929635489,0.5437162814620942,1,0,0,0
0,random,2,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.25990315223250177,1,0,shared_parameter_set,0,-0.19532498658304226,0.7151312910480457,0.910456277631088,1,0,0,0
