scenario,n,rank,parameter_coverage,delta_coverage,decision_coverage,mean_delta_width,mean_aligned_sum_width
null,8,1,0.94,1.0,0.0,1.9952426706279205,0.20788557365245158
null,32,1,0.9433333333333334,1.0,0.0,1.9990179900750733,0.1039427868262258
null,128,1,0.9433333333333334,1.0,0.0,1.999097606680667,0.05197139341311287
null,512,1,0.9466666666666667,1.0,0.0,1.999670835295161,0.025985696706556496
null,2048,1,0.9566666666666667,1.0,0.0,1.99981126554604,0.012992848353278044
null,8192,1,0.9366666666666666,1.0,0.0,1.9998719327354169,0.00649642417664052
weak,8,2,0.9466666666666667,0.9833333333333333,0.01,1.972194943591195,0.24716263426996932
weak,32,2,0.9533333333333334,0.99,0.006666666666666667,1.9413432622113662,0.12623137295214962
weak,128,2,0.9633333333333334,0.9933333333333333,0.006666666666666667,1.8692164700236091,0.06477693533862824
weak,512,2,0.97,0.9866666666666667,0.013333333333333334,1.421388560864263,0.03246656974505643
weak,2048,2,0.94,0.9966666666666667,0.07,0.7652650215719415,0.016233722584761693
weak,8192,2,0.94,0.98,0.27,0.3826325107857933,0.008116861292380857
balanced,8,2,0.9433333333333334,0.9933333333333333,0.14,0.5192455147806857,0.3671620246021226
balanced,32,2,0.93,0.9866666666666667,0.63,0.2596227573903428,0.18358101230106125
balanced,128,2,0.9566666666666667,0.99,1.0,0.12981137869517134,0.09179050615053057
balanced,512,2,0.93,0.9866666666666667,1.0,0.06490568934758567,0.04589525307526529
balanced,2048,2,0.9466666666666667,1.0,1.0,0.032452844673792836,0.022947626537632642
balanced,8192,2,0.96,0.98,1.0,0.01622642233689653,0.011473813268816399
