scenario,n,trial,rank,lambda_min_information,parameter_covered,aligned_sum_width,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
null,8,0,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,1,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,2,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,3,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,4,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,5,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,6,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,7,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,8,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,9,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,10,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,11,1,0.0,0,0.20788557365245153,0,-0.9422758803348606,0.9422758803348606,1.8845517606697213,1,0,0,0
null,8,12,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,13,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,14,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,15,1,0.0,0,0.20788557365245158,0,-0.9929276563925692,0.9929276563925692,1.9858553127851384,1,0,0,0
null,8,16,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,17,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,18,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,19,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,20,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,21,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,22,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,23,1,0.0,1,0.20788557365245142,0,-1.0,1.0,2.0,1,0,0,0
null,8,24,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,25,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,26,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,27,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,28,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,29,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,30,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,31,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,32,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,33,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,34,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,35,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,36,1,0.0,1,0.20788557365245142,0,-1.0,1.0,2.0,1,0,0,0
null,8,37,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,38,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,39,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,40,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,41,1,0.0,1,0.2078855736524513,0,-1.0,1.0,2.0,1,0,0,0
null,8,42,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,43,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,44,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,45,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,46,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,47,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,48,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,49,1,0.0,0,0.20788557365245158,0,-0.959939204930972,0.959939204930972,1.919878409861944,1,0,0,0
null,8,50,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,51,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,52,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,53,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,54,1,0.0,0,0.20788557365245164,0,-0.9247392538397469,0.9247392538397469,1.8494785076794937,1,0,0,0
null,8,55,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,56,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,57,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,58,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,59,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
