task,policy_i,policy_j,published_real_difference,published_sim_difference,descriptive_status
google_robot_pick_coke_can,rt-1-converged,rt-1-15pct,-0.067,0.147,opposite_sign
google_robot_pick_coke_can,rt-1-converged,rt-1-x,0.093,0.290,same_sign
google_robot_pick_coke_can,rt-1-converged,rt-1-begin,0.720,0.830,same_sign
google_robot_pick_coke_can,rt-1-converged,octo-base,0.560,0.687,same_sign
google_robot_pick_coke_can,rt-1-15pct,rt-1-x,0.16,0.143,same_sign
google_robot_pick_coke_can,rt-1-15pct,rt-1-begin,0.787,0.683,same_sign
google_robot_pick_coke_can,rt-1-15pct,octo-base,0.627,0.54,same_sign
google_robot_pick_coke_can,rt-1-x,rt-1-begin,0.627,0.540,same_sign
google_robot_pick_coke_can,rt-1-x,octo-base,0.467,0.397,same_sign
google_robot_pick_coke_can,rt-1-begin,octo-base,-0.160,-0.143,same_sign
google_robot_move_near,rt-1-converged,rt-1-15pct,0.050,0.088,same_sign
google_robot_move_near,rt-1-converged,rt-1-x,0.183,0.125,same_sign
google_robot_move_near,rt-1-converged,rt-1-begin,0.616,0.392,same_sign
google_robot_move_near,rt-1-converged,octo-base,0.283,0.400,same_sign
google_robot_move_near,rt-1-15pct,rt-1-x,0.133,0.037,same_sign
google_robot_move_near,rt-1-15pct,rt-1-begin,0.566,0.304,same_sign
google_robot_move_near,rt-1-15pct,octo-base,0.233,0.312,same_sign
google_robot_move_near,rt-1-x,rt-1-begin,0.433,0.267,same_sign
google_robot_move_near,rt-1-x,octo-base,0.10,0.275,same_sign
google_robot_move_near,rt-1-begin,octo-base,-0.333,0.008,opposite_sign
google_robot_open_drawer,rt-1-converged,rt-1-15pct,0.111,0.138,same_sign
google_robot_open_drawer,rt-1-converged,rt-1-x,0.296,0.305,same_sign
google_robot_open_drawer,rt-1-converged,rt-1-begin,0.815,0.601,same_sign
google_robot_open_drawer,rt-1-converged,octo-base,0.667,0.592,same_sign
google_robot_open_drawer,rt-1-15pct,rt-1-x,0.185,0.167,same_sign
google_robot_open_drawer,rt-1-15pct,rt-1-begin,0.704,0.463,same_sign
google_robot_open_drawer,rt-1-15pct,octo-base,0.556,0.454,same_sign
google_robot_open_drawer,rt-1-x,rt-1-begin,0.519,0.296,same_sign
google_robot_open_drawer,rt-1-x,octo-base,0.371,0.287,same_sign
google_robot_open_drawer,rt-1-begin,octo-base,-0.148,-0.009,same_sign
google_robot_close_drawer,rt-1-converged,rt-1-15pct,0.037,0.194,same_sign
google_robot_close_drawer,rt-1-converged,rt-1-x,0.185,-0.030,opposite_sign
google_robot_close_drawer,rt-1-converged,rt-1-begin,0.926,0.583,same_sign
google_robot_close_drawer,rt-1-converged,octo-base,0.407,0.417,same_sign
google_robot_close_drawer,rt-1-15pct,rt-1-x,0.148,-0.224,opposite_sign
google_robot_close_drawer,rt-1-15pct,rt-1-begin,0.889,0.389,same_sign
google_robot_close_drawer,rt-1-15pct,octo-base,0.370,0.223,same_sign
google_robot_close_drawer,rt-1-x,rt-1-begin,0.741,0.613,same_sign
google_robot_close_drawer,rt-1-x,octo-base,0.222,0.447,same_sign
google_robot_close_drawer,rt-1-begin,octo-base,-0.519,-0.166,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,rt-1-15pct,0.000,-0.065,tie_in_at_least_one_domain
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,rt-1-x,-0.222,-0.148,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,rt-1-begin,0.185,0.065,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,octo-base,0.185,0.065,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,rt-1-x,-0.222,-0.083,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,rt-1-begin,0.185,0.13,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,octo-base,0.185,0.13,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-x,rt-1-begin,0.407,0.213,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-x,octo-base,0.407,0.213,same_sign
google_robot_place_apple_in_closed_top_drawer,rt-1-begin,octo-base,0.0,0.0,tie_in_at_least_one_domain
widowx_spoon_on_towel,rt-1-x,octo-base,-0.333,-0.125,same_sign
widowx_spoon_on_towel,rt-1-x,octo-small,-0.417,-0.472,same_sign
widowx_spoon_on_towel,octo-base,octo-small,-0.084,-0.347,same_sign
widowx_carrot_on_plate,rt-1-x,octo-base,-0.25,-0.041,same_sign
widowx_carrot_on_plate,rt-1-x,octo-small,-0.083,-0.055,same_sign
widowx_carrot_on_plate,octo-base,octo-small,0.167,-0.014,opposite_sign
widowx_stack_cube,rt-1-x,octo-base,0.0,0.0,tie_in_at_least_one_domain
widowx_stack_cube,rt-1-x,octo-small,-0.125,-0.042,same_sign
widowx_stack_cube,octo-base,octo-small,-0.125,-0.042,same_sign
widowx_put_eggplant_in_basket,rt-1-x,octo-base,-0.25,-0.431,same_sign
widowx_put_eggplant_in_basket,rt-1-x,octo-small,-0.4,-0.569,same_sign
widowx_put_eggplant_in_basket,octo-base,octo-small,-0.15,-0.138,same_sign
