task,policy,real_success_reported,sim_success_reported,public_checkpoint_candidate,reexecution_status,real_trial_count,score_version
google_robot_pick_coke_can,rt-2-x,0.907,0.787,False,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_pick_coke_can,rt-1-converged,0.853,0.857,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_pick_coke_can,rt-1-15pct,0.92,0.71,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_pick_coke_can,rt-1-x,0.76,0.567,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_pick_coke_can,rt-1-begin,0.133,0.027,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_pick_coke_can,octo-base,0.293,0.17,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_move_near,rt-2-x,0.733,0.779,False,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_move_near,rt-1-converged,0.633,0.442,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_move_near,rt-1-15pct,0.583,0.354,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_move_near,rt-1-x,0.45,0.317,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_move_near,rt-1-begin,0.017,0.05,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_move_near,octo-base,0.35,0.042,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_open_drawer,rt-2-x,0.333,0.157,False,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_open_drawer,rt-1-converged,0.815,0.601,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_open_drawer,rt-1-15pct,0.704,0.463,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
google_robot_open_drawer,rt-1-x,0.519,0.296,True,not_executed,unknown_pending_protocol_audit,original_SIMPLER_Octo_1.0_not_1.5
