task,policy,condition,configuration,replicate,success
synthetic_pick,A,nominal,c0,run0,1
synthetic_pick,A,nominal,c1,run0,1
synthetic_pick,A,nominal,c2,run0,1
synthetic_pick,A,nominal,c3,run0,1
synthetic_pick,A,nominal,c4,run0,1
synthetic_pick,A,nominal,c5,run0,0
synthetic_pick,A,nominal,c0,run1,1
synthetic_pick,A,nominal,c1,run1,1
synthetic_pick,A,nominal,c2,run1,1
synthetic_pick,A,nominal,c3,run1,1
synthetic_pick,A,nominal,c4,run1,0
synthetic_pick,A,nominal,c5,run1,0
synthetic_pick,A,nominal,c0,run2,1
synthetic_pick,A,nominal,c1,run2,1
synthetic_pick,A,nominal,c2,run2,1
synthetic_pick,A,nominal,c3,run2,1
synthetic_pick,A,nominal,c4,run2,1
synthetic_pick,A,nominal,c5,run2,1
synthetic_pick,A,nominal,c0,run3,1
synthetic_pick,A,nominal,c1,run3,1
synthetic_pick,A,nominal,c2,run3,1
synthetic_pick,A,nominal,c3,run3,1
synthetic_pick,A,nominal,c4,run3,1
synthetic_pick,A,nominal,c5,run3,0
synthetic_pick,A,stress,c0,run0,1
synthetic_pick,A,stress,c1,run0,1
synthetic_pick,A,stress,c2,run0,1
synthetic_pick,A,stress,c3,run0,1
synthetic_pick,A,stress,c4,run0,0
synthetic_pick,A,stress,c5,run0,0
synthetic_pick,A,stress,c0,run1,1
synthetic_pick,A,stress,c1,run1,1
synthetic_pick,A,stress,c2,run1,1
synthetic_pick,A,stress,c3,run1,1
synthetic_pick,A,stress,c4,run1,1
synthetic_pick,A,stress,c5,run1,0
synthetic_pick,A,stress,c0,run2,1
synthetic_pick,A,stress,c1,run2,1
synthetic_pick,A,stress,c2,run2,1
synthetic_pick,A,stress,c3,run2,1
synthetic_pick,A,stress,c4,run2,0
synthetic_pick,A,stress,c5,run2,0
synthetic_pick,A,stress,c0,run3,1
synthetic_pick,A,stress,c1,run3,1
synthetic_pick,A,stress,c2,run3,1
synthetic_pick,A,stress,c3,run3,1
synthetic_pick,A,stress,c4,run3,1
synthetic_pick,A,stress,c5,run3,1
synthetic_pick,B,nominal,c0,run0,1
synthetic_pick,B,nominal,c1,run0,0
synthetic_pick,B,nominal,c2,run0,0
synthetic_pick,B,nominal,c3,run0,0
synthetic_pick,B,nominal,c4,run0,0
synthetic_pick,B,nominal,c5,run0,0
synthetic_pick,B,nominal,c0,run1,1
synthetic_pick,B,nominal,c1,run1,1
synthetic_pick,B,nominal,c2,run1,0
synthetic_pick,B,nominal,c3,run1,0
synthetic_pick,B,nominal,c4,run1,0
synthetic_pick,B,nominal,c5,run1,0
synthetic_pick,B,nominal,c0,run2,0
synthetic_pick,B,nominal,c1,run2,0
synthetic_pick,B,nominal,c2,run2,0
synthetic_pick,B,nominal,c3,run2,0
synthetic_pick,B,nominal,c4,run2,0
synthetic_pick,B,nominal,c5,run2,0
synthetic_pick,B,nominal,c0,run3,1
synthetic_pick,B,nominal,c1,run3,0
synthetic_pick,B,nominal,c2,run3,0
synthetic_pick,B,nominal,c3,run3,0
synthetic_pick,B,nominal,c4,run3,0
synthetic_pick,B,nominal,c5,run3,0
synthetic_pick,B,stress,c0,run0,1
synthetic_pick,B,stress,c1,run0,0
synthetic_pick,B,stress,c2,run0,0
synthetic_pick,B,stress,c3,run0,0
synthetic_pick,B,stress,c4,run0,0
synthetic_pick,B,stress,c5,run0,0
synthetic_pick,B,stress,c0,run1,0
synthetic_pick,B,stress,c1,run1,0
synthetic_pick,B,stress,c2,run1,0
synthetic_pick,B,stress,c3,run1,0
synthetic_pick,B,stress,c4,run1,0
synthetic_pick,B,stress,c5,run1,0
synthetic_pick,B,stress,c0,run2,1
synthetic_pick,B,stress,c1,run2,1
synthetic_pick,B,stress,c2,run2,0
synthetic_pick,B,stress,c3,run2,0
synthetic_pick,B,stress,c4,run2,0
synthetic_pick,B,stress,c5,run2,0
synthetic_pick,B,stress,c0,run3,1
synthetic_pick,B,stress,c1,run3,0
synthetic_pick,B,stress,c2,run3,0
synthetic_pick,B,stress,c3,run3,0
synthetic_pick,B,stress,c4,run3,0
synthetic_pick,B,stress,c5,run3,0
synthetic_pick,C,nominal,c0,run0,1
synthetic_pick,C,nominal,c1,run0,0
synthetic_pick,C,nominal,c2,run0,0
synthetic_pick,C,nominal,c3,run0,0
synthetic_pick,C,nominal,c4,run0,0
synthetic_pick,C,nominal,c5,run0,0
synthetic_pick,C,nominal,c0,run1,1
synthetic_pick,C,nominal,c1,run1,1
synthetic_pick,C,nominal,c2,run1,0
synthetic_pick,C,nominal,c3,run1,0
synthetic_pick,C,nominal,c4,run1,0
synthetic_pick,C,nominal,c5,run1,0
synthetic_pick,C,nominal,c0,run2,0
synthetic_pick,C,nominal,c1,run2,0
synthetic_pick,C,nominal,c2,run2,0
synthetic_pick,C,nominal,c3,run2,0
synthetic_pick,C,nominal,c4,run2,0
synthetic_pick,C,nominal,c5,run2,0
synthetic_pick,C,nominal,c0,run3,1
synthetic_pick,C,nominal,c1,run3,0
synthetic_pick,C,nominal,c2,run3,0
synthetic_pick,C,nominal,c3,run3,0
synthetic_pick,C,nominal,c4,run3,0
synthetic_pick,C,nominal,c5,run3,0
synthetic_pick,C,stress,c0,run0,1
synthetic_pick,C,stress,c1,run0,1
synthetic_pick,C,stress,c2,run0,1
synthetic_pick,C,stress,c3,run0,1
synthetic_pick,C,stress,c4,run0,1
synthetic_pick,C,stress,c5,run0,1
synthetic_pick,C,stress,c0,run1,1
synthetic_pick,C,stress,c1,run1,1
synthetic_pick,C,stress,c2,run1,1
synthetic_pick,C,stress,c3,run1,1
synthetic_pick,C,stress,c4,run1,1
synthetic_pick,C,stress,c5,run1,0
synthetic_pick,C,stress,c0,run2,1
synthetic_pick,C,stress,c1,run2,1
synthetic_pick,C,stress,c2,run2,1
synthetic_pick,C,stress,c3,run2,1
synthetic_pick,C,stress,c4,run2,0
synthetic_pick,C,stress,c5,run2,0
synthetic_pick,C,stress,c0,run3,1
synthetic_pick,C,stress,c1,run3,1
synthetic_pick,C,stress,c2,run3,1
synthetic_pick,C,stress,c3,run3,1
synthetic_pick,C,stress,c4,run3,1
synthetic_pick,C,stress,c5,run3,0
