task,policy_a,policy_b,count_a,count_b,n_each,difference,newcombe_low,newcombe_high,simultaneous_cp_low,simultaneous_cp_high,publicly_rerunnable_pair,opposite_published_means
google_robot_pick_coke_can,rt-2-x,rt-1-converged,68,64,75,0.05333333333333334,-0.05394599655567585,0.16145118242569667,-0.15807108163727723,0.2567158322761751,False,True
google_robot_pick_coke_can,rt-2-x,rt-1-15pct,68,69,75,-0.013333333333333334,-0.11031218181100763,0.08289052818944463,-0.19636960691176997,0.1718162231157503,False,True
google_robot_pick_coke_can,rt-2-x,rt-1-x,68,57,75,0.14666666666666667,0.026793541498202844,0.26441003243737043,-0.09236101279528519,0.36440260768675836,False,False
google_robot_pick_coke_can,rt-2-x,rt-1-begin,68,10,75,0.7733333333333333,0.644507741598359,0.8492145243149413,0.5160242767280162,0.9229338643252023,False,False
google_robot_pick_coke_can,rt-2-x,octo-base,68,22,75,0.6133333333333333,0.4722370944365497,0.7158708197840017,0.3342910011800019,0.8072878463584747,False,False
google_robot_pick_coke_can,rt-1-converged,rt-1-15pct,64,69,75,-0.06666666666666667,-0.17286313944096848,0.03798136548433878,-0.2634985124159914,0.14030037798107386,True,True
google_robot_pick_coke_can,rt-1-converged,rt-1-x,64,57,75,0.09333333333333334,-0.03411218410569433,0.21805574226507607,-0.15948991829950665,0.33288676255208194,True,False
google_robot_pick_coke_can,rt-1-converged,rt-1-begin,64,10,75,0.72,0.584099937956182,0.8063141602027755,0.44889537122379475,0.8914180191905259,True,False
google_robot_pick_coke_can,rt-1-converged,octo-base,64,22,75,0.56,0.41241632065683703,0.6704812890689827,0.2671620956757804,0.7757720012237983,True,False
google_robot_pick_coke_can,rt-1-15pct,rt-1-x,69,57,75,0.16,0.04247586567305758,0.27598155767344096,-0.07459030913908182,0.3711852878265747,True,False
google_robot_pick_coke_can,rt-1-15pct,rt-1-begin,69,10,75,0.7866666666666666,0.6600239049409791,0.8597842205243501,0.5337949803842196,0.9297165444650186,True,False
google_robot_pick_coke_can,rt-1-15pct,octo-base,69,22,75,0.6266666666666667,0.48756057534618835,0.727176157089039,0.35206170483620525,0.814070526498291,True,False
google_robot_pick_coke_can,rt-1-x,rt-1-begin,57,10,75,0.6266666666666667,0.48299044123542745,0.7282090015212962,0.3412085958132115,0.8257079503485338,True,False
google_robot_pick_coke_can,rt-1-x,octo-base,57,22,75,0.4666666666666667,0.3118927240951852,0.5894136696873655,0.15947532026519717,0.7100619323818063,True,False
google_robot_pick_coke_can,rt-1-begin,octo-base,10,22,75,-0.16,-0.28589451243359953,-0.02849603162346942,-0.3990559363732468,0.10167664285850492,True,False
google_robot_move_near,rt-2-x,rt-1-converged,44,38,60,0.1,-0.06563052336119113,0.2584072542280105,-0.229378030397003,0.4122249751408197,False,False
google_robot_move_near,rt-2-x,rt-1-15pct,44,35,60,0.15,-0.019393482724955335,0.30804747711823616,-0.18716848738016756,0.46151119458750867,False,False
google_robot_move_near,rt-2-x,rt-1-x,44,27,60,0.2833333333333333,0.10761259523527,0.43586488082562636,-0.0665672151519423,0.5849716143288747,False,False
google_robot_move_near,rt-2-x,rt-1-begin,44,1,60,0.7166666666666667,0.5738380591473902,0.8129888545187371,0.4388764975132042,0.8674666657801797,False,False
google_robot_move_near,rt-2-x,octo-base,44,21,60,0.38333333333333336,0.20668976208901554,0.5276367552390822,0.031466445692085676,0.6699350601934839,False,False
