scope,task,omitted_policy,n_retained,pearson,mmrv,interpretation
all_published_policies,google_robot_pick_coke_can,rt-2-x,5,0.9713469237138714,0.026800000000000025,deterministic_deletion_sensitivity
all_published_policies,google_robot_pick_coke_can,rt-1-converged,5,0.9943378735363355,0.005200000000000005,deterministic_deletion_sensitivity
all_published_policies,google_robot_pick_coke_can,rt-1-15pct,5,0.9817660958646863,0.02160000000000002,deterministic_deletion_sensitivity
all_published_policies,google_robot_pick_coke_can,rt-1-x,5,0.9799640260367739,0.037600000000000036,deterministic_deletion_sensitivity
all_published_policies,google_robot_pick_coke_can,rt-1-begin,5,0.9509821266244805,0.037600000000000036,deterministic_deletion_sensitivity
all_published_policies,google_robot_pick_coke_can,octo-base,5,0.9672184140921526,0.037600000000000036,deterministic_deletion_sensitivity
all_published_policies,google_robot_move_near,rt-2-x,5,0.8591170163851871,0.13319999999999999,deterministic_deletion_sensitivity
all_published_policies,google_robot_move_near,rt-1-converged,5,0.8543487437616519,0.13319999999999999,deterministic_deletion_sensitivity
all_published_policies,google_robot_move_near,rt-1-15pct,5,0.871157393080612,0.13319999999999999,deterministic_deletion_sensitivity
all_published_policies,google_robot_move_near,rt-1-x,5,0.8560276161384331,0.13319999999999999,deterministic_deletion_sensitivity
all_published_policies,google_robot_move_near,rt-1-begin,5,0.9420161721473855,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_move_near,octo-base,5,0.8916948682552435,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_open_drawer,rt-2-x,5,0.9846364097339793,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_open_drawer,rt-1-converged,5,0.9813012526762748,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_open_drawer,rt-1-15pct,5,0.9797147971086878,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_open_drawer,rt-1-x,5,0.9854002858394237,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_open_drawer,rt-1-begin,5,0.9964478597585584,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_open_drawer,octo-base,5,0.9828023494859789,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_close_drawer,rt-2-x,5,0.8681340307374178,0.10360000000000003,deterministic_deletion_sensitivity
all_published_policies,google_robot_close_drawer,rt-1-converged,5,0.7055891113334346,0.1036,deterministic_deletion_sensitivity
all_published_policies,google_robot_close_drawer,rt-1-15pct,5,0.780205999282711,0.11840000000000002,deterministic_deletion_sensitivity
all_published_policies,google_robot_close_drawer,rt-1-x,5,0.8307878447857976,0.044399999999999995,deterministic_deletion_sensitivity
all_published_policies,google_robot_close_drawer,rt-1-begin,5,0.7231929738175424,0.14800000000000002,deterministic_deletion_sensitivity
all_published_policies,google_robot_close_drawer,octo-base,5,0.7677968425087046,0.10360000000000003,deterministic_deletion_sensitivity
all_published_policies,google_robot_place_apple_in_closed_top_drawer,rt-2-x,5,0.9676551102904432,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_place_apple_in_closed_top_drawer,rt-1-converged,5,0.9872933050986399,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,5,0.9875529912550575,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_place_apple_in_closed_top_drawer,rt-1-x,5,0.9053304820863013,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_place_apple_in_closed_top_drawer,rt-1-begin,5,0.9618304603996257,0.0,deterministic_deletion_sensitivity
all_published_policies,google_robot_place_apple_in_closed_top_drawer,octo-base,5,0.9618304603996257,0.0,deterministic_deletion_sensitivity
all_published_policies,widowx_spoon_on_towel,rt-1-x,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_spoon_on_towel,octo-base,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_spoon_on_towel,octo-small,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_carrot_on_plate,rt-1-x,2,-1.0,0.16699999999999998,two_points_or_constant_not_inferential
all_published_policies,widowx_carrot_on_plate,octo-base,2,0.9999999999999998,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_carrot_on_plate,octo-small,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_stack_cube,rt-1-x,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_stack_cube,octo-base,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_stack_cube,octo-small,2,,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_put_eggplant_in_basket,rt-1-x,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_put_eggplant_in_basket,octo-base,2,1.0,0.0,two_points_or_constant_not_inferential
all_published_policies,widowx_put_eggplant_in_basket,octo-small,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,google_robot_pick_coke_can,rt-1-converged,4,0.9999593065413434,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_pick_coke_can,rt-1-15pct,4,0.9777041399420426,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_pick_coke_can,rt-1-x,4,0.9760797964717481,0.03350000000000003,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_pick_coke_can,rt-1-begin,4,0.9443813560509396,0.03350000000000003,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_pick_coke_can,octo-base,4,0.963288235039261,0.03350000000000003,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_move_near,rt-1-converged,4,0.8015124314733323,0.16649999999999998,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_move_near,rt-1-15pct,4,0.8384391776557241,0.16649999999999998,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_move_near,rt-1-x,4,0.8637322316632051,0.16649999999999998,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_move_near,rt-1-begin,4,0.9226914462260122,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_move_near,octo-base,4,0.9893668743911052,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_open_drawer,rt-1-converged,4,0.9832912272178569,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_open_drawer,rt-1-15pct,4,0.9821924097624175,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_open_drawer,rt-1-x,4,0.9880546907963311,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_open_drawer,rt-1-begin,4,0.9959460353132276,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_open_drawer,octo-base,4,0.9869219576231671,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_close_drawer,rt-1-converged,4,0.8305701337526242,0.07400000000000001,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_close_drawer,rt-1-15pct,4,0.9159614299020377,0.09250000000000003,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_close_drawer,rt-1-x,4,0.9354232010712824,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_close_drawer,rt-1-begin,4,0.6987727174320685,0.12950000000000003,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_close_drawer,octo-base,4,0.8913835764998684,0.12950000000000003,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_place_apple_in_closed_top_drawer,rt-1-converged,4,0.9875606730560669,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,4,0.9875860256092399,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_place_apple_in_closed_top_drawer,rt-1-x,4,0.9045340337332909,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_place_apple_in_closed_top_drawer,rt-1-begin,4,0.9565913487393026,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,google_robot_place_apple_in_closed_top_drawer,octo-base,4,0.9565913487393026,0.0,deterministic_deletion_sensitivity
public_checkpoint_subset,widowx_spoon_on_towel,rt-1-x,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_spoon_on_towel,octo-base,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_spoon_on_towel,octo-small,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_carrot_on_plate,rt-1-x,2,-1.0,0.16699999999999998,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_carrot_on_plate,octo-base,2,0.9999999999999998,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_carrot_on_plate,octo-small,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_stack_cube,rt-1-x,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_stack_cube,octo-base,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_stack_cube,octo-small,2,,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_put_eggplant_in_basket,rt-1-x,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_put_eggplant_in_basket,octo-base,2,1.0,0.0,two_points_or_constant_not_inferential
public_checkpoint_subset,widowx_put_eggplant_in_basket,octo-small,2,1.0,0.0,two_points_or_constant_not_inferential
