task,policy,published_real_rate,published_sim_rate,public_budget,compatible_success_count,integer_count_status,interval_status
google_robot_pick_coke_can,rt-2-x,0.907,0.787,75,68,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_pick_coke_can,rt-1-converged,0.853,0.857,75,64,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_pick_coke_can,rt-1-15pct,0.92,0.71,75,69,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_pick_coke_can,rt-1-x,0.76,0.567,75,57,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_pick_coke_can,rt-1-begin,0.133,0.027,75,10,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_pick_coke_can,octo-base,0.293,0.17,75,22,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_move_near,rt-2-x,0.733,0.779,60,44,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_move_near,rt-1-converged,0.633,0.442,60,38,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_move_near,rt-1-15pct,0.583,0.354,60,35,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_move_near,rt-1-x,0.45,0.317,60,27,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_move_near,rt-1-begin,0.017,0.05,60,1,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_move_near,octo-base,0.35,0.042,60,21,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_open_drawer,rt-2-x,0.333,0.157,27,9,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_open_drawer,rt-1-converged,0.815,0.601,27,22,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_open_drawer,rt-1-15pct,0.704,0.463,27,19,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_open_drawer,rt-1-x,0.519,0.296,27,14,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_open_drawer,rt-1-begin,0.0,0.0,27,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_open_drawer,octo-base,0.148,0.009,27,4,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_close_drawer,rt-2-x,0.63,0.343,27,17,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_close_drawer,rt-1-converged,0.926,0.861,27,25,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_close_drawer,rt-1-15pct,0.889,0.667,27,24,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_close_drawer,rt-1-x,0.741,0.891,27,20,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_close_drawer,rt-1-begin,0.0,0.278,27,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_close_drawer,octo-base,0.519,0.444,27,14,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_place_apple_in_closed_top_drawer,rt-2-x,0.074,0.037,27,2,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_place_apple_in_closed_top_drawer,rt-1-converged,0.185,0.065,27,5,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_place_apple_in_closed_top_drawer,rt-1-15pct,0.185,0.13,27,5,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_place_apple_in_closed_top_drawer,rt-1-x,0.407,0.213,27,11,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_place_apple_in_closed_top_drawer,rt-1-begin,0.0,0.0,27,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
google_robot_place_apple_in_closed_top_drawer,octo-base,0.0,0.0,27,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_spoon_on_towel,rt-1-x,0.0,0.0,24,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_spoon_on_towel,octo-base,0.333,0.125,24,8,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_spoon_on_towel,octo-small,0.417,0.472,24,10,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_carrot_on_plate,rt-1-x,0.0,0.042,24,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_carrot_on_plate,octo-base,0.25,0.083,24,6,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_carrot_on_plate,octo-small,0.083,0.097,24,2,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_stack_cube,rt-1-x,0.0,0.0,24,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_stack_cube,octo-base,0.0,0.0,24,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_stack_cube,octo-small,0.125,0.042,24,3,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_put_eggplant_in_basket,rt-1-x,0.0,0.0,24,0,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_put_eggplant_in_basket,octo-base,0.25,0.431,24,6,unique_rounding_compatible,conditional_on_budget_cohort_and_sampling_model
widowx_put_eggplant_in_basket,octo-small,0.4,0.569,24,,not_compatible_do_not_round,excluded
